Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Doornkop,-------,1041,Middelburg,Chris Hani,Eastern Cape,South Africa,-25.6160199,29.4324423
Imbali Shopping Centre,-------,1050,Middelburg,Chris Hani,Eastern Cape,South Africa,-29.5805351,30.3776982
Kanhym Est,-------,1050,Middelburg,Chris Hani,Eastern Cape,South Africa,-31.4951138,25.0060674
Kanhym Lgd,-------,1050,Middelburg,Chris Hani,Eastern Cape,South Africa,-31.4951138,25.0060674
Middelburg Ext 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa,-25.769902,29.4639354
Middelburg Uit 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa,-31.4951138,25.0060674
Hlalamnandi Ext 22,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa,-31.4951138,25.0060674
Hlalamnandi Uit 22,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa,-31.4951138,25.0060674
Mhluzi Ext 23,1055,1055,Middelburg,Chris Hani,Eastern Cape,South Africa,-25.7593336,29.4195642
Mhluzi Ext 6,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa,-25.7570668,29.4266385
Mhluzi Uit 23,1055,1055,Middelburg,Chris Hani,Eastern Cape,South Africa,-25.7570668,29.4266385
Mhluzi Uit 6,1055,-------,Middelburg,Chris Hani,Eastern Cape,South Africa,-25.7570668,29.4266385
Middelburg Ext 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa,-25.769902,29.4639354
Middelburg Uit 18,1055,1050,Middelburg,Chris Hani,Eastern Cape,South Africa,-31.4951138,25.0060674
Mphilo,-------,1069,Middelburg,Chris Hani,Eastern Cape,South Africa,-31.4951138,25.0060674
Cedarville,-------,4720,Cedarville,Alfred Nzo,Eastern Cape,South Africa,-30.3836035,29.0401738
Mzingizi,-------,4720,Mzingizi,Alfred Nzo,Eastern Cape,South Africa,-28.7719872,32.1015353
Harry Gwala Park,4730,-------,Matatiele,Alfred Nzo,Eastern Cape,South Africa,-30.3450513,28.811852
Itsokolele,-------,4730,Matatiele,Alfred Nzo,Eastern Cape,South Africa,-30.34502,28.81179
Matatiele,4730,4730,Matatiele,Alfred Nzo,Eastern Cape,South Africa,-30.36211,28.8014121
Khoapa,-------,4731,Matatiele,Alfred Nzo,Eastern Cape,South Africa,-30.2932904,28.76935539999999
Elugelweni,-------,4735,Mount Ayliff,Alfred Nzo,Eastern Cape,South Africa,-30.8184848,29.3656846
Gugveni,-------,4735,Mount Ayliff,Alfred Nzo,Eastern Cape,South Africa,-30.8184848,29.3656846
Lubaleko,-------,4735,Mount Ayliff,Alfred Nzo,Eastern Cape,South Africa,-30.691066,29.3671362
Mount Ayliff,4735,4735,Mount Ayliff,Alfred Nzo,Eastern Cape,South Africa,-30.8184848,29.3656846
Sugar Bush,4735,4735,Mount Ayliff,Alfred Nzo,Eastern Cape,South Africa,-30.8184848,29.3656846
Ntsizwa,-------,4736,Mount Ayliff,Alfred Nzo,Eastern Cape,South Africa,-30.7275616,29.2349842
Dutyini,-------,4737,Mount Ayliff,Alfred Nzo,Eastern Cape,South Africa,-30.8233207,29.309062
Mzimvubu,-------,4738,Mount Ayliff,OR Thambo,Eastern Cape,South Africa,-30.8184848,29.3656846
Lehlohonolo,-------,4740,Umtata,OR Thambo,Eastern Cape,South Africa,-30.2202504,28.8815254
Likhohlong,4740,-------,Maluti,Alfred Nzo,Eastern Cape,South Africa,-30.261326,28.79267
Maluti,4740,4740,Maluti,Alfred Nzo,Eastern Cape,South Africa,-30.261326,28.79267
Mapfontein,4740,-------,Maluti,Alfred Nzo,Eastern Cape,South Africa,-30.2406171,28.619186
Snakefield,-------,4740,Maluti,Alfred Nzo,Eastern Cape,South Africa,-30.216667,28.966667
Taylerville,4740,-------,Maluti,Alfred Nzo,Eastern Cape,South Africa,-30.261326,28.79267
Ngonyameni,-------,4741,Ngonyameni,OR Thambo,Eastern Cape,South Africa,-30.7713614,29.3497164
Ntlangwini,-------,4742,Maluti,OR Thambo,Eastern Cape,South Africa,-30.261326,28.79267
Mzongwana,-------,4744,Maluti,Alfred Nzo,Eastern Cape,South Africa,-30.261326,28.79267
Magadla,-------,4750,Magadla,Ukhahlamba,Eastern Cape,South Africa,-30.5475555,27.2881858
Nyaniso,-------,4751,Magadla,Alfred Nzo,Eastern Cape,South Africa,-30.5751774,28.7810131
Rolweni,-------,4752,Magadla,Alfred Nzo,Eastern Cape,South Africa,-30.5475555,27.2881858
Sigoga,-------,4753,Magadla,Ukhahlamba,Eastern Cape,South Africa,-30.748213,28.4542772
Dludlu,-------,4770,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Mohwabatsana,-------,4770,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Mount Fletcher,-------,4770,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Phirintsho,-------,4770,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Tokwana,-------,4771,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.69296,28.3315838
Forster's Pride,-------,4772,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Forsters Pride,-------,4772,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Fletcherville,-------,4773,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.615255,28.4090079
Setabataba,-------,4774,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.5894107,28.3349824
Farview,-------,4776,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.55821,28.49385
Zincuka,-------,4777,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.65,28.6166667
Zingcuka,-------,4777,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6174373,28.5827161
Gxaku,-------,4778,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.694701,28.508128
Katkop,-------,4780,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.88840859999999,28.5068325
Charfred,-------,4781,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Tinaruste,-------,4786,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.6914475,28.5051382
Tsatsana,-------,4789,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.65,28.2
Mangoloaneng,-------,4790,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.5204158,28.4528171
Seqhobong,-------,4791,Mount Fletcher,Ukhahlamba,Eastern Cape,South Africa,-30.4332361,28.4250726
Bizana,4800,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.8460263,29.8410174
Fort Donald,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.75,29.566667
Gumzana,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-31.0268396,29.9913964
Highview,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.8460263,29.8410174
Kwacitwayo,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.8460263,29.8410174
Lugwijini,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.9840966,30.00584719999999
Makwantini,-------,4800,Makwantini,OR Thambo,Eastern Cape,South Africa,-32.9833333,27.8666667
Mpetsheni,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.99338199999999,29.7947139
Mzamba,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-31.0300744,29.9643465
Ngongozayo,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.8460263,29.8410174
Nomlacu,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.843082,29.7802409
Ntabengadlinkomo,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-31.0875,29.8075
Ntangeni,-------,4800,Bizana,Amatole,Eastern Cape,South Africa,-30.8460263,29.8410174
Ntlamvukazi,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.7470475,29.7049569
Ntlozelo,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.998683,29.9075516
Ntsingisi,-------,4800,Bizana,OR Thambo,Eastern Cape,South Africa,-30.9386578,29.8873054
Redoubt,-------,4801,Redoubt,OR Thambo,Eastern Cape,South Africa,-30.9028723,29.9769441
Magusheni,-------,4802,Bizana,OR Thambo,Eastern Cape,South Africa,-30.8460263,29.8410174
Mjozi,-------,4803,Bizana,OR Thambo,Eastern Cape,South Africa,-31.1131886,29.9169382
Envis,-------,4804,Bizana,OR Thambo,Eastern Cape,South Africa,-30.8460263,29.8410174
Bukazi,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0462773,29.3860054
Bumazi,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.1215862,29.6042741
Cefeni,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Flagstaff,4810,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Hlabati,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.2012887,29.7454995
Hlwahlwazi,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.1807328,29.6412236
Kwabipa,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-30.8864197,29.6701969
Kwakanyayo,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Madada,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0670507,29.6991642
Manquzu,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Marashu,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Matshetsha,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Mcetheni,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Mgodini,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0604255,29.6327555
Mkamela,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.2613629,29.8062912
Mseleni,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.1990304,29.7903721
Mtontsasa,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.21301159999999,29.6991642
Mxokozweni,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.1606738,29.5499192
Nkozo,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.1476282,29.41373909999999
Ntlenzi,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-30.969986,29.5855509
Ntola,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-30.8399958,29.5868828
Rheederspos,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Rocky Valley,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Swani Ridge,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Tonti,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-30.8725982,29.4324423
Twazi,-------,4810,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0699017,29.578911
Holy Cross,4811,4811,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.1489254,29.675062
Mfundisweni,4812,4812,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.0795817,29.4933682
Bungeni,-------,4813,Flagstaff,OR Thambo,Eastern Cape,South Africa,-30.9391667,29.5
Mkambati,-------,4814,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.2871934,29.957431
Ntabankulu,-------,4816,Ntabankulu,OR Thambo,Eastern Cape,South Africa,-30.9765667,29.3192266
Amanyati,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Bucele,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.5004827,29.6122444
Buhlanyanga,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Cani,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Goqwana,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.4804672,29.4440492
Lambase,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.40413909999999,29.6665755
Ludakeni,-------,4820,Lusikisiki,Chris Hani,Eastern Cape,South Africa,-31.3683458,29.5687646
Ludonga,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3859024,29.2778376
Lusikisiki,4820,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Lutshaya,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.36985,29.584169
Luzupu,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3583338,29.4324423
Mahlamvu,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Manteku,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.368,29.576
Matombe,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.469658,29.5644158
Mbokazi,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.4130368,29.3961647
Mbotyi,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.4650721,29.732424
Mbutu,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Mhlabobomvu,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Mount Bleak,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3166667,29.4166667
Mzintlavana,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.40253659999999,29.5209214
Ndindini,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-30.77604,29.5890568
Ntsubane,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.4538889,29.68
Qawukeni,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Rendezvous,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Sihlito,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.4007721,29.4658096
Strachanville,-------,4820,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Dumabenshiya,-------,4821,Dumabenshiya,OR Thambo,Eastern Cape,South Africa,-32.2968402,26.419389
Palmerton,-------,4821,Flagstaff,OR Thambo,Eastern Cape,South Africa,-31.37279629999999,29.5662984
Hlababomvu,-------,4822,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.2675579,29.3403405
Nkunzimbini,-------,4824,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3245003,29.6701969
Zalu,-------,4825,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Tshonya,-------,4826,Tshonya,OR Thambo,Eastern Cape,South Africa,-32.2968402,26.419389
Mgojweni,-------,4827,Mgojweni,OR Thambo,Eastern Cape,South Africa,-31.7743427,29.044538
Emantlaneni,-------,4828,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.3683458,29.5687646
Bambisana,-------,4829,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.36985,29.584169
Bambisane,-------,4829,Lusikisiki,OR Thambo,Eastern Cape,South Africa,-31.36985,29.584169
Kei Road,4920,4920,Kei Road,Amatole,Eastern Cape,South Africa,-32.7046031,27.5701292
Keiweg,-------,4920,Keiweg,Amatole,Eastern Cape,South Africa,-32.7046031,27.5701292
Keiweg,4920,4920,Kei Road,Amatole,Eastern Cape,South Africa,-32.7046031,27.5701292
Cumakala,-------,4930,Stutterheim,Amatole,Eastern Cape,South Africa,-32.5615486,27.446829
Dohne,-------,4930,Stutterheim,Amatole,Eastern Cape,South Africa,-32.516667,27.45
Kologha,-------,4930,Stutterheim,Amatole,Eastern Cape,South Africa,-32.5606019,27.4167445
Kubusi,-------,4930,Stutterheim,Amatole,Eastern Cape,South Africa,-32.5885137,27.4321452
Kwamlungisi,-------,4930,Stutterheim,Amatole,Eastern Cape,South Africa,-32.5885137,27.4321452
Stutterheim,-------,4930,Stutterheim,Amatole,Eastern Cape,South Africa,-32.5885137,27.4321452
Jersey Valley,4932,4932,Jersey Valley,Amatole,Eastern Cape,South Africa,40.0583238,-74.4056612
Nonkululeko,-------,4933,Nonkululeko,Amatole,Eastern Cape,South Africa,-32.2968402,26.419389
Mgwali,4934,4934,Stutterheim,Amatole,Eastern Cape,South Africa,-31.7389672,28.0083618
Bolo Reserve,4935,4935,Stutterheim,Amatole,Eastern Cape,South Africa,-32.366667,27.616667
Komga,4950,4950,Komga,Amatole,Eastern Cape,South Africa,-32.5906095,27.8838873
Komga Location,4950,4950,Komga,Amatole,Eastern Cape,South Africa,-32.5906095,27.8838873
Mzomhle,-------,4950,Komga,Amatole,Eastern Cape,South Africa,-32.93382,27.76796
Peace Village,-------,4950,Komga,Amatole,Eastern Cape,South Africa,-32.5906095,27.8838873
Anchorage,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,61.2180556,-149.9002778
Bawa,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.4034503,28.1093418
Booi Farm,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.3225167,28.1854042
Butterworth,4960,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Ext 13,4960,4960,Butterworth,Amatole,Eastern Cape,South Africa,-26.3153468,27.8560518
Butterworth Ext 15,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Ext 2,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3199644,28.1399444
Butterworth Ext 23,4960,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Ext 24,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Ext 6,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3227036,28.1385464
Butterworth Ext 7,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Uit 13,4960,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Uit 15,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Uit 2,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Uit 23,4960,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Uit 24,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Uit 6,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Butterworth Uit 7,4960,-------,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Cat's Pass,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.4277778,28.4363889
Centuli,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.4298987,28.3593437
Ciko,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.273484,28.5360226
Eagle's Nek,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.1774783,28.0186087
Gaylard,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.3323496,28.1446262
Gqunge,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.4821497,28.585634
Gxara,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.583333,28.333333
Holela,-------,4960,Butterworth,Amatole,Eastern Cape,South Africa,-32.2443394,28.426533
