Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Deneysville,-------,1932,Deneysville,Northern Free State,Free State,South Africa,-26.892953,28.0976369
Phomolong,1932,1932,Deneysville,Northern Free State,Free State,South Africa,-28.0125302,27.0823502
Rafengotso,-------,1932,Deneysville,Northern Free State,Free State,South Africa,-26.883817,28.0961737
Refenkgotso,-------,1932,Deneysville,Northern Free State,Free State,South Africa,-26.883817,28.0961737
Clydesdale,1946,-------,Kragbron,Northern Free State,Free State,South Africa,-26.9064105,27.8859697
Highveld,1946,-------,Kragbron,Northern Free State,Free State,South Africa,-26.9064105,27.8859697
Holly Country,1946,-------,Sasolburg,Northern Free State,Free State,South Africa,-26.93218,27.91278
Holly Country,-------,1946,Kragbron,Northern Free State,Free State,South Africa,-26.9064105,27.8859697
Kragbron,1946,1946,Sasolburg,Northern Free State,Free State,South Africa,-26.9064105,27.8859697
Industrial Area,-------,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.82389,27.8425
Industriele Gebied,-------,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Iraq Fase 1,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Iraq Phase 1,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Naledi,1947,-------,Sasolburg,Northern Free State,Free State,South Africa,-26.7893575,27.8483322
Protem,1947,-------,Sasolburg,Northern Free State,Free State,South Africa,-34.266667,20.083333
Sasolburg,-------,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Sasolburg Ext 1,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Sasolburg Ext 5,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Sasolburg Uit 1,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Sasolburg Uit 5,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Vaalpark,1947,1948,Sasolburg,Northern Free State,Free State,South Africa,-26.7759129,27.848726
Welgelegen,1947,-------,Sasolburg,Northern Free State,Free State,South Africa,-26.7925552,27.8340735
Zamdela Ext 3,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8662267,27.8692376
Zamdela Uit 3,1947,1947,Sasolburg,Northern Free State,Free State,South Africa,-26.8662267,27.8692376
Vaalpark,1947,1948,Sasolburg,Northern Free State,Free State,South Africa,-26.7759129,27.848726
Chris Hani,1949,1949,Sasolburg,Northern Free State,Free State,South Africa,-29.18074129999999,26.2644204
Chris Hani Park,1949,1949,Sasolburg,Northern Free State,Free State,South Africa,-27.9871901,26.8174054
Holomisa,-------,1949,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Midvaal,-------,1949,Zamdela,Northern Free State,Free State,South Africa,-26.8662267,27.8692376
Snake Park,1949,1949,Sasolburg,Northern Free State,Free State,South Africa,-26.8101899,27.8277254
Taylorpark,1949,-------,Zamdela,Northern Free State,Free State,South Africa,-26.8482668,27.8604883
Taylorpark Ext 3,1949,-------,Zamdela,Northern Free State,Free State,South Africa,-26.8662267,27.8692376
Taylorpark Uit 3,1949,-------,Zamdela,Northern Free State,Free State,South Africa,-26.8662267,27.8692376
Thembalethu,-------,1949,Sasolburg,Northern Free State,Free State,South Africa,-34.0045007,22.4917291
Zamdela,1949,1949,Sasolburg,Northern Free State,Free State,South Africa,-26.8662267,27.8692376
Metsimaholo,-------,1995,Oranjeville,Northern Free State,Free State,South Africa,-26.9779145,28.2102635
Oranjeville,-------,1995,Oranjeville,Northern Free State,Free State,South Africa,-26.983546,28.2029523
Van Reenen,-------,3372,Harrismith,Thabo Mofutsanyane,Free State,South Africa,-28.3753461,29.3838283
Jacobsdal,-------,8710,Jacobsdal,Xhariep,Free State,South Africa,-29.1332928,24.7973983
Ratanang,8710,8710,Jacobsdal,Xhariep,Free State,South Africa,-29.1174321,24.7602996
Saundershoogte,-------,8710,Jacobsdal,Xhariep,Free State,South Africa,-29.1332928,24.7973983
Belmont,-------,8720,Belmont,Thabo Mofutsanyane,Free State,South Africa,-30.483333,26.683333
Bloemfontein,9301,9300,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
East End,9300,9300,Bloemfontein,Motheo,Free State,South Africa,-29.130103,26.254002
Grootvlei,9323,9300,Kagisanong,Motheo,Free State,South Africa,-29.1861648,26.3028029
Oos Einde,-------,9300,Bloemfontein,Motheo,Free State,South Africa,-29.12922949999999,26.2526092
Oos-Einde,9300,9300,Bloemfontein,Motheo,Free State,South Africa,-29.12922949999999,26.2526092
Roodewal,9300,-------,Bloemfontein,Motheo,Free State,South Africa,-29.104779,26.360567
Tempe,9300,9300,Bloemfontein,Motheo,Free State,South Africa,-29.0919385,26.1920678
Aandrus,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1463,26.18579
Arboretum,9301,9305,Bloemfontein,Motheo,Free State,South Africa,-29.1036289,26.2201254
Bayswater,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0820539,26.2393209
Bloemfontein,9301,9300,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
Bloemside 2 Fase 4,9301,9301,Bloemfontein,Motheo,Free State,South Africa,-29.162467,26.2614676
Bloemside 2 Phase 4,9301,9301,Bloemfontein,Motheo,Free State,South Africa,-29.17023489999999,26.2686703
Bloemside 3,9301,9301,Bloemfontein,Motheo,Free State,South Africa,-29.1579076,26.2703258
Brandwag,9301,9324,Bloemfontein,Motheo,Free State,South Africa,-29.1031691,26.1964982
Buitesig,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1215091,26.2282468
Chris Hani,-------,9301,Bloemfontein,Motheo,Free State,South Africa,-29.18074129999999,26.2644204
Community,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.135471,26.225825
Dan Pienaar,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.0882337,26.2097888
Danhof,9301,9310,Bloemfontein,Motheo,Free State,South Africa,-29.0885939,26.2135359
Ehrlich Park,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.1792121,26.2009284
Ehrlichpark,9301,9312,Bloemfontein,Motheo,Free State,South Africa,-29.1792121,26.2009284
Fairview,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1097276,26.2236736
Fauna,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1692257,26.190591
Faunasig,9301,9325,Bloemfontein,Motheo,Free State,South Africa,-29.1692257,26.190591
Ferreira,9301,9325,Bloemfontein,Motheo,Free State,South Africa,-29.1685559,26.1973046
Fichardt Park,9301,9317,Bloemfontein,Motheo,Free State,South Africa,-29.1430316,26.1802531
Fichardtpark,9301,9317,Bloemfontein,Motheo,Free State,South Africa,-29.1430316,26.1802531
Fleurdal,9301,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1551052,26.1935446
