Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Zama Zama,1434,-------,Kwenzekile,Umkhanyakude,KwaZulu-Natal,South Africa,-28.5305539,30.8958242
Elandslaagte,-------,2900,Ladysmith,Uthukela,KwaZulu-Natal,South Africa,-28.40806,29.95889
Ekuvukeni,-------,2920,Wasbank,Uthukela,KwaZulu-Natal,South Africa,-28.4682252,30.1560436
Ekuvukeni 1,-------,2920,Wasbank,Umzinyathi,KwaZulu-Natal,South Africa,-28.4682252,30.1560436
Emahlabatini,-------,2920,Wasbank,Uthukela,KwaZulu-Natal,South Africa,-28.3273902,30.1040715
Etholeni,-------,2920,Wasbank,Uthukela,KwaZulu-Natal,South Africa,-28.3273902,30.1040715
Ezihlabathini,-------,2920,Wasbank,Umzinyathi,KwaZulu-Natal,South Africa,-28.4817212,30.2902105
Kwahlathi,-------,2920,Wasbank,Umzinyathi,KwaZulu-Natal,South Africa,-28.3273902,30.1040715
Limehill,-------,2920,Wasbank,Uthukela,KwaZulu-Natal,South Africa,-28.4509509,30.2510522
Rockescliff,-------,2920,Wasbank,Umzinyathi,KwaZulu-Natal,South Africa,-28.3273902,30.1040715
Spandikroon,-------,2920,Wasbank,Umzinyathi,KwaZulu-Natal,South Africa,-28.3273902,30.1040715
Wasbank,-------,2920,Wasbank,Umzinyathi,KwaZulu-Natal,South Africa,-28.3273902,30.1040715
Uitval,-------,2921,Wasbank,Uthukela,KwaZulu-Natal,South Africa,-28.4707253,30.2541575
Vaalkop,2922,2922,Vaalkop,Amajuba,KwaZulu-Natal,South Africa,-28.4656079,30.1993381
Glencoe,-------,2930,Glencoe,Umzinyathi,KwaZulu-Natal,South Africa,-28.1804757,30.1531568
Sithembile,2930,-------,Glencoe,Umzinyathi,KwaZulu-Natal,South Africa,-28.1978923,30.1632603
Imdumeni,-------,2931,Imdumeni,Umzinyathi,KwaZulu-Natal,South Africa,-28.1649681,30.23433929999999
Amajuba,2940,3385,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7138429,29.9971769
Amajuba Park,2940,2955,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7293685,29.9653811
Aviary Hill,-------,2940,Newcastle,Umkhanyakude,KwaZulu-Natal,South Africa,-27.7204481,29.9133356
Aviaryhill,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7204481,29.9133356
Crawford Street,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.768061,29.937425
Hill Street,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7633512,29.9218631
Ingagane,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.8403656,29.99573179999999
Kenneth Street,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7138429,29.9971769
Kilbarchan,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.8392842,29.9668265
Murchison Street,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7565325,29.9300503
Ncandu Park,2940,-------,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7282943,29.9754988
Newcastle,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7162224,30.0318547
Newcastle Industrial Area,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.75088,29.97206
Newcastle Industriele Gebied,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.7162224,30.0318547
Normandien,-------,2940,Newcastle,Amajuba,KwaZulu-Natal,South Africa,-27.983333,29.783333
