Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Dwaalboom,-------,0319,Thabazimbi,Waterberg,Limpopo,South Africa,-24.716667,26.816667
Northam,-------,0360,Northam,Waterberg,Limpopo,South Africa,-24.9626628,27.2656959
Koedoeskop,-------,0361,Thabazimbi,Waterberg,Limpopo,South Africa,-24.5828411,27.4027743
Amandelbult,0362,0362,Chromite,Waterberg,Limpopo,South Africa,-24.816667,27.283333
Chromite,0362,0362,Thabazimbi,Waterberg,Limpopo,South Africa,-24.5828411,27.4027743
Emlanjeni,-------,0363,Thabazimbi,Waterberg,Limpopo,South Africa,-24.7843908,27.3498955
Lushof,-------,0380,Thabazimbi,Waterberg,Limpopo,South Africa,-24.9875726,27.2486563
Thabazimbi,0387,0380,Thabazimbi,Waterberg,Limpopo,South Africa,-24.5828411,27.4027743
Makoppa,-------,0381,Thabazimbi,Waterberg,Limpopo,South Africa,-24.4488999,27.14297
Kiesel,-------,0382,Thabazimbi,Waterberg,Limpopo,South Africa,NA,NA
Setaria,0383,0383,Thabazimbi,Waterberg,Limpopo,South Africa,-24.7963048,27.4071802
Zondereinde,-------,0383,Thabazimbi,Waterberg,Limpopo,South Africa,-24.8317553,27.3402132
Rooibokkraal,-------,0384,Thabazimbi,Waterberg,Limpopo,South Africa,-24.3072674,27.0493336
Sentrum,-------,0385,Thabazimbi,Waterberg,Limpopo,South Africa,-24.283333,27.333333
Ipelegeng,-------,0386,Podiphatshwa,Waterberg,Limpopo,South Africa,-27.201612,25.2972022
Podiphatshwa,-------,0386,Thabazimbi,Waterberg,Limpopo,South Africa,-24.5828411,27.4027743
Kwaggasvlakte,-------,0387,Regorogile,Waterberg,Limpopo,South Africa,-24.5797561,27.3836808
Regorogile,0387,0387,Thabazimbi,Waterberg,Limpopo,South Africa,-24.5797561,27.3836808
Spitzkop,-------,0387,Regorogile,Waterberg,Limpopo,South Africa,-24.3966667,30.3727778
Thabazimbi,0387,0380,Thabazimbi,Waterberg,Limpopo,South Africa,-24.5828411,27.4027743
Rhenosterdrift,-------,0405,Rust De Winter,Waterberg,Limpopo,South Africa,-25.2,28.616667
Rust De Winter,-------,0406,Warmbaths,Waterberg,Limpopo,South Africa,-24.889933,28.2902563
Potwane,-------,0419,Thulwe,Capricorn,Limpopo,South Africa,-25.2256025,28.2117257
De Putten,-------,0430,Settlers,Waterberg,Limpopo,South Africa,-24.95,28.533333
Warmbaths,-------,0430,Settlers,Waterberg,Limpopo,South Africa,-24.9555699,28.53807
Morolong,-------,0433,Nylstroom,Waterberg,Limpopo,South Africa,-24.7095708,28.3987842
Bingley,-------,0436,Nylstroom,Waterberg,Limpopo,South Africa,-24.7095708,28.3987842
Tuinplaas,-------,0437,Nylstroom,Waterberg,Limpopo,South Africa,-24.9,28.733333
Hani View,-------,0443,Temba,Waterberg,Limpopo,South Africa,-23.4012946,29.4179324
Ga Lekalakala,-------,0448,Temba,Waterberg,Limpopo,South Africa,-24.15,28.9666667
Leeufontein,0449,-------,Mbibane,Sekhukhune,Limpopo,South Africa,-24.9987499,29.397119
Mbibane,0449,0449,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.9650576,29.2814687
Marble Hall,0450,0450,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.9650576,29.2814687
Marble Hall Ext 5,0450,-------,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.9650576,29.2814687
Marble Hall Uit 5,0450,-------,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.9650576,29.2814687
Voorreg,-------,0451,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.91694,29.05389
Tweefontein,-------,0452,Xipame,Sekhukhune,Limpopo,South Africa,-24.8375948,29.8511443
Xipame,-------,0452,Marble Hall,Sekhukhune,Limpopo,South Africa,-25.0259345,28.9764879
Tsimanyane,-------,0453,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.8405122,29.50352
Kediketse,-------,0454,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.76868,29.53922
Strydmag,-------,0455,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.9650576,29.2814687
Msindo,-------,0456,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.9650576,29.2814687
Dibasabophelo,-------,0457,Marble Hall,Sekhukhune,Limpopo,South Africa,-24.9650576,29.2814687
