x_dd,y_dd
-33.612231,26.887174
-33.316025,26.539807
-33.287991,26.555984
-33.288132,26.556689
-33.298663,26.533459
-33.288132,26.556689
-33.616045,26.870126
-33.288374,26.556464
-33.288448,26.556306
-33.284448,26.576306
-33.288196,26.534532
-33.585338,26.906644
-33.589455,26.896425
-33.30031,26.536141
-33.288866,26.556821
-33.289341,26.530798
-33.292172,26.536203
-33.305105,26.525228
-33.5951,26.875092
-33.289399,26.557143
-33.305817,26.531581
-33.203978,27.136083
-33.316247,26.536399
-33.294786,26.536408
-33.309787,26.505356
-33.201978,27.156083
-33.595048,26.879584
-33.310576,26.536157
-33.104747,27.021153
-33.282341,26.230798
-32.772432,27.420039
-33.589667,26.885229
-33.295616,27.047545
-33.289132,26.557689
-33.582156,26.897794
-33.154861,27.035422
-33.296764,26.533627
-33.31578,26.527333
-33.214585,26.597023
-33.278132,26.576689
-33.31671,26.533944
-33.26828,27.032889
-33.287011,26.561882
-33.20458,27.093581
-33.587908,26.894878
-33.589191,26.89939
-33.25458,27.063581
-33.310286,26.526995
-33.194234,27.107652
-33.281656,26.574328
-33.505932,26.839623
-33.316247,26.536399
-33.295191,26.537373
-33.311049,26.534819
-33.320644,27.339272
-33.281254,26.574934
-33.302152,26.550474
-33.287132,26.558689
-33.314726,26.53343
-33.292477,26.520904
-33.248196,26.514532
-33.288147,26.552105
-33.281341,26.130798
-33.583519,26.895247
-33.597414,26.880372
-33.288132,26.556689
-33.589128,26.8945
-33.58789,26.892362
-33.589128,26.8945
-33.31418,26.537873
-33.306339,26.525789
-33.273321,27.113666
-33.295346,26.527618
-33.286589,26.561592
-33.588453,26.8966
-33.311049,26.534819
-33.281589,26.571592
-33.316247,26.536399
-33.602773,26.886271
-33.271446,27.114964
-33.291681,26.520427
-33.302277,26.536257
-33.290643,26.53186
-33.539022,27.04498
-33.30355,26.521062
-33.311725,26.531983
-33.301864,26.520629
-33.308825,26.525895
-33.5951,26.875092
-33.316052,26.537238
-33.297829,26.524529
-33.306507,26.530037
-33.58741,26.894936
-33.606087,26.887441
-33.294585,26.547023
-33.195812,27.111821
-33.201128,27.107827
-33.538453,26.8166
-33.205005,27.109889
-33.325644,27.335272
-33.583539,26.892761
-33.272273,27.116156
-33.064459,27.107599
-33.154861,27.035422
-33.433081,27.216238
-33.210329,27.063372
-33.104316,27.017892
-33.588893,26.882382
-33.223978,27.132083
-30.567255,28.775388
-33.154861,27.035422
-33.602109,26.881292
-33.588893,26.882382
-33.209699,27.17666
-30.567255,28.775388
-33.301985,26.539882
-33.54366,26.87645
-33.20386,26.155362
-33.287589,26.564592
-33.596714,26.885123
-33.602109,26.881292
-33.601857,26.897402
-33.286989,26.561992
-33.594233,26.876701
-33.209699,27.17666
