Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Marapyane,-------,0431,Skilpadfontein,Nkangala,Mpumalanga,South Africa,-25.016667,28.8
Mametlhake,0432,0432,Bamokgoko,Nkangala,Mpumalanga,South Africa,-25.10332,28.53537
Nokaneng,-------,0435,Hammanskraal,Nkangala,Mpumalanga,South Africa,-25.4065999,28.28982
Empumalanga,-------,0458,Empumalanga,Ehlanzeni,Mpumalanga,South Africa,-25.3075311,28.9469463
Kuli,-------,0458,Kuli,Ehlanzeni,Mpumalanga,South Africa,-25.565336,30.5279096
Kwaggafontein,-------,0458,Empumalanga,Nkangala,Mpumalanga,South Africa,-25.263442,28.9586867
Verena,-------,0458,Verena,Ehlanzeni,Mpumalanga,South Africa,-25.4863198,29.0139863
Mthambothini,-------,0462,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1099506,29.0714805
Buthi,-------,0469,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1099506,29.0714805
Guguletu,-------,0472,Siyabuswa,Nkangala,Mpumalanga,South Africa,-33.98201840000001,18.5670952
Kwa Phahla,-------,0472,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1433239,29.0488724
Sunset Supermarket,-------,0472,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1152059,29.0573845
Thaband Village,-------,0472,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1099506,29.0714805
Weltevrede,-------,0472,Siyabuswa,Nkangala,Mpumalanga,South Africa,NA,NA
Matjhirini,-------,0475,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1099506,29.0714805
Walkraal B,-------,0477,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1870689,29.0634479
Waterval A,-------,0477,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1691997,29.0081662
Two Line,-------,0493,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1099506,29.0714805
Makometsane,-------,0494,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.1155368,28.9368525
Ramokgeletsane,-------,0495,Siyabuswa,Nkangala,Mpumalanga,South Africa,-25.0695408,29.0198061
Moripe,-------,0496,Moripe,Nkangala,Mpumalanga,South Africa,-25.1445432,28.9382448
Klarinet,-------,1019,Witbank,Nkangala,Mpumalanga,South Africa,-25.84289,29.2015645
Kwamhlanga,1022,1022,Bronkhorstspruit,Nkangala,Mpumalanga,South Africa,-25.8084388,28.70813819999999
Lithuli Ext 3,1022,1022,Kwamhlanga,Nkangala,Mpumalanga,South Africa,-25.378457,28.7175395
Lithuli Uit 3,1022,1022,Kwamhlanga,Nkangala,Mpumalanga,South Africa,-25.378457,28.7175395
Mandela Village,1022,1022,Kwamhlanga,Nkangala,Mpumalanga,South Africa,-25.3869687,28.7060523
Phumula,-------,1022,Kwamhlanga,Nkangala,Mpumalanga,South Africa,-25.3575458,28.8229446
Thembalethu,1022,-------,Kwamhlanga,Nkangala,Mpumalanga,South Africa,NA,NA
Tweefontein,-------,1022,Kwamhlanga,Nkangala,Mpumalanga,South Africa,-25.3468559,28.8334623
Somarobogo,-------,1023,Kwamhlanga,Nkangala,Mpumalanga,South Africa,-25.3607861,28.8180215
Magologolo,-------,1030,Siyabuswa,Nkangala,Mpumalanga,South Africa,-28.7301369,30.9589496
Blackhill,-------,1032,Witbank,Nkangala,Mpumalanga,South Africa,-25.9094488,29.1406561
Coalville,-------,1033,Witbank,Nkangala,Mpumalanga,South Africa,-26.033333,29.166667
Blancheville,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8459427,29.2458803
Del Judor,1034,1044,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Ext 1,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Ext 12,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Ext 17,1034,1035,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Ext 23,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Ext 3,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Ext 4,1034,1044,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Ext 5,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Uit 1,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.89347,29.23669
Del Judor Uit 12,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Uit 17,1034,1035,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Uit 23,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Uit 3,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Uit 4,1034,1044,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Del Judor Uit 5,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8989046,29.2466067
Die Heuwel,1034,1042,Witbank,Nkangala,Mpumalanga,South Africa,-25.8608626,29.2422483
Die Heuwel Ext 4,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8608626,29.2422483
Die Heuwel Uit 4,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8608626,29.2422483
Duvha Park,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9350146,29.2291726
Duvha Park Ext 2,1034,1035,Witbank,Nkangala,Mpumalanga,South Africa,-25.9467047,29.2504683
Duvha Park Uit 2,1034,1035,Witbank,Nkangala,Mpumalanga,South Africa,-25.9350146,29.2291726
Eden Park,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.88741,29.22226
Emalahleni Ext 1,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8727817,29.2553229
Emalahleni Ext 10,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 12,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 16,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9147795,29.2318444
Emalahleni Ext 17,1034,1034,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 18,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 2,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8727817,29.2553229
Emalahleni Ext 20,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 23,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 25,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 3,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.8999816,29.1293566
Emalahleni Ext 4,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 41,1034,1035,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 49,1034,1035,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 5,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 60,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 8,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni Ext 9,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9150057,29.2360738
Emalahleni North,1034,1072,Witbank,Nkangala,Mpumalanga,South Africa,-25.8727817,29.2553229
Emalahleni Uit 1,1034,-------,Witbank,Nkangala,Mpumalanga,South Africa,-25.9146378,29.2341902
