Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Jericho,0189,0189,Brits,Bojanala Platinum,North West,South Africa,-25.3390709,27.8047648
Ramokokastad,0321,0195,Mogwase,Bojanala Platinum,North West,South Africa,-25.1577234,27.4350821
Ya Rona,-------,0202,Rustenburg,Bojanala Platinum,North West,South Africa,-25.662867,27.240549
Ya-rona,-------,0202,Rustenburg,Bojanala Platinum,North West,South Africa,-25.662867,27.240549
Moiletswane,-------,0203,Moiletswane,Bojanala Platinum,North West,South Africa,-25.3807817,27.9263647
Legonyane,-------,0210,Brits,Bojanala Platinum,North West,South Africa,-25.266667,27.783333
Hartbeespoort,-------,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7477324,27.8871784
Meerhof,0216,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7588757,27.897071
Melodie,0216,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7263202,27.8927138
Melodie Ext 16,0216,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7263202,27.8927138
Melodie Ext 28,0216,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7263202,27.8927138
Melodie Uit 16,0216,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7263202,27.8927138
Melodie Uit 28,0216,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7263202,27.8927138
Schoemansville,0216,0216,Hartbeespoort,Bojanala Platinum,North West,South Africa,-25.7267748,27.8750976
Letlhakaneng,-------,0217,Brits,Bojanala Platinum,North West,South Africa,-25.3915178,27.8208852
Sephai,-------,0220,Brits,Bojanala Platinum,North West,South Africa,-25.2503857,27.8062304
Skeerpoort,-------,0232,Brits,Bojanala Platinum,North West,South Africa,-25.8168363,27.7406357
Broederstroom,-------,0240,Brits,Bojanala Platinum,North West,South Africa,-25.8020308,27.8762004
Brits,0250,0250,Brits,Bojanala Platinum,North West,South Africa,-25.6099895,27.7959713
Brits Ext,0250,-------,Brits,Bojanala Platinum,North West,South Africa,-25.59853,27.8252814
Brits Ext 10,0250,-------,Brits,Bojanala Platinum,North West,South Africa,-25.6099895,27.7959713
Brits Ext 11,0250,-------,Brits,Bojanala Platinum,North West,South Africa,-25.59853,27.8252814
Brits Ext 17,0250,-------,Brits,Bojanala Platinum,North West,South Africa,-25.6099895,27.7959713
Brits Ext 18,0250,-------,Brits,Bojanala Platinum,North West,South Africa,-25.59853,27.8252814
Brits Ext 19,0250,-------,Brits,Bojanala Platinum,North West,South Africa,-25.6427799,27.77722
