Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Eurekaville,5950,5950,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-31.1921648,24.9474
Hospitaal Heuwel,5950,-------,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-31.1846901,24.9491323
Klipheuwel,5950,-------,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-33.7243969,18.7081246
Kwa Zamuxolo,5950,5950,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-31.1846901,24.9491323
Kwazamuxolo,5950,5950,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-31.1940836,24.9561365
Moreson,5950,-------,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-31.1846901,24.9491323
Noupoort,5950,5950,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-31.1846901,24.9491323
Plakkerskamp,-------,5950,Noupoort,Pixley ka Seme,Northern Cape,South Africa,-31.1846901,24.9491323
Kerkgrond,-------,6920,Sutherland,Namakwa,Northern Cape,South Africa,-32.4100977,20.670528
Skema,-------,6920,Sutherland,Namakwa,Northern Cape,South Africa,-32.4100977,20.670528
Sutherland,6920,6920,Sutherland,Namakwa,Northern Cape,South Africa,-32.4100977,20.670528
Amerville,6960,-------,Fraserburg,Namakwa,Northern Cape,South Africa,-31.9149495,21.5133587
Fraserburg,6960,6960,Fraserburg,Namakwa,Northern Cape,South Africa,-31.9149495,21.5133587
Loxton,-------,6985,Loxton,Pixley ka Seme,Northern Cape,South Africa,-31.4688152,22.3456985
Barcelona,-------,7000,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6766303,24.0131202
De Aar,7000,7000,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6766303,24.0131202
De Aar Ext 14,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6766303,24.0131202
De Aar Ext 18,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6242869,24.031164
De Aar Ext 20,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6766303,24.0131202
De Aar Ext 21,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6520644,24.0078294
De Aar Ext 7,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.676393,24.0142765
De Aar Uit 14,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6242869,24.031164
De Aar Uit 18,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6242869,24.031164
De Aar Uit 20,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6242869,24.031164
De Aar Uit 21,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6242869,24.031164
De Aar Uit 7,7000,-------,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.6766303,24.0131202
De Aar West,-------,7000,De Aar,Pixley ka Seme,Northern Cape,South Africa,-30.648130599999998,24.0010918
