Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Lyonville,6460,-------,Uniondale,Eden,Western Cape,South Africa,-33.662512,23.1158149
Proteaville,6460,-------,Uniondale,Eden,Western Cape,South Africa,-33.8195334,18.6554178
Uniondale,6460,6460,Uniondale,Eden,Western Cape,South Africa,-33.6486255,23.1381998
Noll,-------,6462,Uniondale,Eden,Western Cape,South Africa,-33.766667,22.9
Laudina,6463,6463,Uniondale,Eden,Western Cape,South Africa,-33.683333,22.966667
Rooi River,6466,-------,Uniondale,Eden,Western Cape,South Africa,-33.7051073,23.058052
Rooirivier,6466,-------,Uniondale,Eden,Western Cape,South Africa,-33.6486255,23.1381998
Haarlem,-------,6467,Uniondale,Eden,Western Cape,South Africa,-33.7459322,23.3406758
Barandas,-------,6480,Uniondale,Eden,Western Cape,South Africa,-33.466667,23.033333
Avontuur,-------,6490,Uniondale,Eden,Western Cape,South Africa,-33.716667,23.166667
Ruiterbos,6506,6499,Mossel Bay,Eden,Western Cape,South Africa,-34.1152156,22.0877072
Mossel Bay,6506,6500,Mossel Bay,Eden,Western Cape,South Africa,-34.1747356,22.0834066
Mosselbaai,6506,6500,Mossel Bay,Eden,Western Cape,South Africa,-34.1747356,22.0834066
Pinnacle Point,6500,-------,Mossel Bay,Eden,Western Cape,South Africa,-34.203257,22.0863874
Da Gamaskop,6506,6501,Mossel Bay,Eden,Western Cape,South Africa,-34.1766697,22.1178868
Klein Brakrivier,-------,6503,Mossel Bay,Eden,Western Cape,South Africa,-34.0862095,22.1460022
Klein-brakrivier,-------,6503,Mossel Bay,Eden,Western Cape,South Africa,-34.0862095,22.1460022
Little Brak River,-------,6503,Mossel Bay,Eden,Western Cape,South Africa,-34.0862095,22.1460022
Rheebok,-------,6503,Mossel Bay,Eden,Western Cape,South Africa,-34.0570954,22.2117751
Johnson's Post,-------,6504,Mossel Bay,Eden,Western Cape,South Africa,-34.283333,21.85
Johnsons Post,-------,6504,Mossel Bay,Eden,Western Cape,South Africa,-34.283333,21.85
Herbertsdale,-------,6505,Mossel Bay,Eden,Western Cape,South Africa,-34.0175913,21.7763713
Asla Park,6506,-------,Mossel Bay,Eden,Western Cape,South Africa,-34.1747356,22.0834066
Bakke,6506,-------,Mossel Bay,Eden,Western Cape,South Africa,-34.17325220000001,22.1220064
