Pcode,Town,District,dis_code,Province,Geo_x,Geo_y,B,S,Ignore_prov,Ignore_district,Ignore_description
0001,PRETORIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0002,BEREA PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-26.1884649,28.056813,,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0003,UNISA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7672222,28.1994444,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0004,PRETORIA CITY COUNCIL,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0005,ALKANTRANT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.763304,28.27935,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0006,ATTERIDGEVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.774474,28.082677,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0007,ARCADIA,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.74702,28.20762,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0008,ATTERIDGEVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7730891,28.0830047,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0009,BON ACCORD,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.6424766,28.1974006,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0010,CONSTANTIA PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8028109,28.287103,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0011,BROOKLYN,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.769601,28.236117,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0012,TELKOM PLACE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0014,CLUBVIEW,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.8387366,28.1773857,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0016,COR DELFOS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7483599,28.1963,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0017,DOORNPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.645059,28.226093,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0018,DANVILLE,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.741436,28.128511,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0019,DASPOORT,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.7156255,28.1538601,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0020,PERSEQUOR PARK,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.745458,28.274367,Y,,Gauteng,TSH,City of Tshwane Metropolitan Municipality
0021,EERSTERUS,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.715432,28.314042,Y,Y,Gauteng,TSH,City of Tshwane Metropolitan Municipality
