s_doctor,type,p_address_1 ,p_address_2 , gis_name,gis_post_code, x_dd , y_dd ,gis_p_prov
109797,Gov,TYGERBERG ORAL HEALTH CENTRE,FRANZIE VAN ZYL DRIVE       ,PAROW                       ',7500,18.60,-33.90,Western Cape                '
164348,Gov,3 HOSPITAL STREET           ,UNIONDALE                   ,UNIONDALE                   ',6460,23.12,-33.65,Western Cape                '
253863,B,WATERVILE CRESCENT          ,SUNNINGDALE                 ,MILNERTON                   ',7441,18.51,-33.84,Western Cape                '
283207,B,MULLER STREET               ,PLETTENBERG BAY             ,PLETTENBERG BAY             ',6600,23.37,-34.06,Western Cape                '
425710,A,85 KLIPFONTEIN ROAD         ,RONDEBOSCH                  ,PLUMSTEAD                   ',7800,18.47,-34.02,Western Cape                '
441279,B,85 KLIPFONTEIN ROAD         ,RONDEBOSCH                  ,RONDEBOSCH                  ',7700,18.47,-33.95,Western Cape                '
5600030,Gov,VOORTREKKER STREET          ,BEAUFORT WEST               ,BEAUFORT WEST               ',6970,22.58,-32.35,Western Cape                '
5600065,Gov,N2 HIGHWAY                  ,CALEDON                     ,CALEDON                     ',7230,19.42,-34.23,Western Cape                '
5600103,Gov,RIVERKANT STREET            ,CERES                       ,CERES                       ',6835,19.30,-33.37,Western Cape                '
5600111,Gov,VREDE STREET                ,CITRUSDAL                   ,CITRUSDAL                   ',7340,19.01,-32.58,Western Cape                '
5600154,Gov,103 HIGHLANDS DRIVE         ,LENTEGEUR                   ,MAITLAND                    ',7405,18.53,-33.92,Western Cape                '
5600189,Gov,SUGGET STREET               ,WORCESTER                   ,WORCESTER                   ',6850,19.44,-33.64,Western Cape                '
5600200,Gov,BELL STREET                 ,FORT BEAUFORT               ,FORT BEAUFORT               ',5720,20.85,-34.39,Western Cape                '
5600251,Gov,DAVIDSON ROAD               ,GEORGE                      ,GEORGE                      ',6529,22.46,-33.96,Western Cape                '
5600294,Gov,OBSERVATORY                 ,CAPE TOWN                   ,SALT RIVER                 ',7925,18.47,-33.92,Western Cape                '
5600308,Gov,HELDERBERG HOSPITAL         ,LOURENSFORD ROAD            ,SOMERSET WEST               ',7130,18.85,-34.08,Western Cape                '
5600324,Gov,CNR MIKE PINAAR BOULEVARD &C,FRANS CONRADIE DRIVE        ,BELLVILLE                   ',7530,18.66,-33.88,Western Cape                '
5600340,Gov,MAIN ROAD                   ,KNYSNA                      ,KNYSNA                      ',6571,23.04,-34.03,Western Cape                '
5600367,Gov,HOSPITAL AVENUE             ,LADISMITH                   ,LADISMITH                   ',6655,21.26,-33.49,Western Cape                '
5600421,Gov,CHURCH STREET               ,CNR HOSPITAL & CHURCH STREET,MONTAGU                     ',6720,20.12,-33.78,Western Cape                '
5600448,Gov,12TH AVENUE                 ,MOSSEL BAY PROVINCIAL HOSP  ,MOSSEL BAY PROVINCIAL HOSP  ',6506,22.13,-34.18,Western Cape                '
5600456,Gov,12 HORNSEY ROAD             ,MOWBRAY                     ,RONDEBOSCH                  ',7700,18.47,-33.95,Western Cape                '
5600464,Gov,CNR DORPSIG & VAN RIEBEECK S,BREDASDORP                  ,BREDASDORP                  ',7280,20.04,-34.53,Western Cape                '
5600472,Gov,PARK ROAD                   ,OUDTSHOORN                  ,OUDTSHOORN                  ',6625,22.20,-33.59,Western Cape                '
5600480,Gov,PAARL HOSPITAL              ,PAARL                       ,HUGUENOT                    ',7646,18.97,-33.72,Western Cape                '
5600499,Gov,HOSPITAL                    ,MOUNT ST                    ,CAPE TOWN                   ',8001,18.42,-33.92,Western Cape                '
5600553,Gov,KLIPFONTEIN ROAD            ,RONDEBOSCH                  ,RONDEBOSCH                  ',7700,18.47,-33.95,Western Cape                '
