Location,Street_code,Box_code,Area,Municipality,Province,Country
Pretoria,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Tshwane,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Berea Park,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Central,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Clydesdale,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Defence Force Area,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Gevangenisterrein,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Goedehoop,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Marabastad,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Muckleneuk,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoria,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Prince's Park,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Prison Area,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Railway Reserve,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Riverdal,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Riverdale,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Salvokop,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Sentraal,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Skanskop,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Spoorwegterrein,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Sunnyside,0002,0132,Pretoria,City of Tshwane,Gauteng,South Africa
Trevenna,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Tshwane,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Verdedigingsterrein,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Zwaveldspoort,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Unisa,-------,0003,Pretoria,City of Tshwane,Gauteng,South Africa
City Council,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoria City Council,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoria Stadsraad,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Stadsraad Van Pretoria,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Alkantrant,0081,0005,Pretoria,City of Tshwane,Gauteng,South Africa
Atteridgeville,0008,0006,Pretoria,City of Tshwane,Gauteng,South Africa
Arcadia,0083,0007,Pretoria,City of Tshwane,Gauteng,South Africa
Atteridgeville,0008,0006,Pretoria,City of Tshwane,Gauteng,South Africa
Atteridgeville,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 16,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 17,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 18,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 2,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 3,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 4,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 42,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 6,0008,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 7,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 16,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 17,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 18,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 2,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 3,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 4,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 42,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 6,0008,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 7,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville West,-------,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville West Ext 6,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
